Latitude (decimal degrees):	3.156
Longitude (decimal degrees):	101.691
Elevation (m):	66
Radiation database:	PVGIS-ERA5


Slope: 0 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0

P: PV system power (W)
G(i): Global irradiance on the inclined plane (plane of the array) (W/m2)
H_sun: Sun height (degree)
T2m: 2-m air temperature (degree Celsius)
WS10m: 10-m total wind speed (m/s)
Int: 1 means solar radiation values are reconstructed



PVGIS (c) European Union, 2001-2026

time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0030,77.55,116.08,15.52,22.7,1.17,0.0
20230101:0130,199.44,265.76,28.92,24.45,0.9,0.0
20230101:0230,346.18,455.29,41.69,26.26,0.9,0.0
20230101:0330,439.18,585.98,53.11,27.41,0.55,0.0
20230101:0430,485.23,657.36,61.47,28.27,0.55,0.0
20230101:0530,463.85,630.06,63.63,28.93,0.34,0.0
20230101:0630,586.94,818.25,58.31,29.3,0.07,0.0
20230101:0730,473.5,645.75,48.27,30.73,0.34,0.0
20230101:0830,298.68,401.69,36.11,30.62,0.48,0.0
20230101:0930,198.22,276.37,23.01,30.14,0.9,0.0
20230101:1030,44.04,80.15,9.45,29.27,1.38,0.0
20230101:1130,0.0,0.0,-4.3,27.92,1.59,0.0
20230101:1230,0.0,0.0,0.0,26.73,1.45,0.0
20230101:1330,0.0,0.0,0.0,26.05,1.03,0.0
20230101:1430,0.0,0.0,0.0,25.42,0.55,0.0
20230101:1530,0.0,0.0,0.0,25.11,0.48,0.0
20230101:1630,0.0,0.0,0.0,24.02,1.03,0.0
20230101:1730,0.0,0.0,0.0,23.44,1.52,0.0
20230101:1830,0.0,0.0,0.0,22.93,1.45,0.0
20230101:1930,0.0,0.0,0.0,23.05,1.1,0.0
20230101:2030,0.0,0.0,0.0,22.95,1.1,0.0
20230101:2130,0.0,0.0,0.0,22.65,1.17,0.0
20230101:2230,0.0,0.0,0.0,22.41,1.31,0.0
20230101:2330,4.64,15.6,1.83,22.39,1.24,0.0
20230102:0030,67.91,103.88,15.44,22.6,0.9,0.0
20230102:0130,234.8,311.56,28.85,24.62,0.55,0.0
20230102:0230,399.77,530.72,41.64,26.48,0.21,0.0
20230102:0330,536.94,724.28,53.09,27.64,0.55,0.0
20230102:0430,583.51,793.54,61.5,28.63,0.83,0.0
20230102:0530,583.55,794.72,63.73,29.32,1.03,0.0
20230102:0630,496.18,662.3,58.44,29.69,1.17,0.0
20230102:0730,518.05,696.3,48.4,30.11,1.1,0.0
20230102:0830,378.63,504.41,36.24,30.13,1.17,0.0
20230102:0930,197.99,275.01,23.13,28.28,1.52,0.0
20230102:1030,51.52,101.07,9.57,27.8,1.72,0.0
20230102:1130,0.0,0.0,-4.2,27.06,1.17,0.0
20230102:1230,0.0,0.0,0.0,26.19,1.24,0.0
20230102:1330,0.0,0.0,0.0,25.54,0.55,0.0
20230102:1430,0.0,0.0,0.0,25.25,0.28,0.0
20230102:1530,0.0,0.0,0.0,24.52,0.69,0.0
20230102:1630,0.0,0.0,0.0,23.96,1.03,0.0
20230102:1730,0.0,0.0,0.0,23.45,0.97,0.0
20230102:1830,0.0,0.0,0.0,23.26,0.76,0.0
20230102:1930,0.0,0.0,0.0,23.25,0.9,0.0
20230102:2030,0.0,0.0,0.0,23.02,0.9,0.0
20230102:2130,0.0,0.0,0.0,22.78,0.97,0.0
20230102:2230,0.0,0.0,0.0,22.52,1.1,0.0
20230102:2330,4.22,14.85,1.74,22.4,1.03,0.0
20230103:0030,104.17,154.33,15.35,22.71,0.9,0.0
20230103:0130,293.87,388.15,28.78,25.0,0.83,0.0
20230103:0230,449.61,591.33,41.59,26.63,1.03,0.0
20230103:0330,568.16,761.51,53.08,27.9,1.17,0.0
20230103:0430,630.24,863.27,61.54,29.05,1.03,0.0
20230103:0530,611.58,840.56,63.84,29.72,0.83,0.0
20230103:0630,567.5,776.04,58.57,30.2,0.76,0.0
20230103:0730,424.82,567.73,48.54,31.0,1.03,0.0
